1	601916	浙商银行
1	601919	中远海控
1	601939	建设银行
1	601985	中国核电
1	601988	中国银行
1	601995	中金公司
1	601998	中信银行
1	603019	中科曙光
1	603259	药明康德
1	603260	合盛硅业
1	603288	海天味业
1	603296	华勤技术
1	603369	今世缘
1	603392	万泰生物
1	603501	豪威集团
1	603799	华友钴业
1	603893	瑞芯微
1	603986	兆易创新
1	603993	洛阳钼业
1	605117	德业股份
1	605499	东鹏饮料
1	688008	澜起科技
1	688009	中国通号
1	688012	中微公司
1	688036	传音控股
1	688041	海光信息
1	688047	龙芯中科
1	688072	拓荆科技
1	688082	盛美上海
1	688111	金山办公
1	688126	沪硅产业
1	688183	生益电子
1	688223	晶科能源
1	688256	寒武纪
1	688271	联影医疗
1	688303	大全能源
1	688396	华润微
1	688472	阿特斯
1	688506	百利天恒
1	688521	芯原股份
1	688981	中芯国际
